Usuario|comentario|tipo emocion
Shelley|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|pensativo
Robert|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|enojado
Norma|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|alegre
Ryan|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|enojado
Gabriella|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|pensativo
Justin|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|me gusta
Nicole|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|no me gusta
Abigail|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|alegre
Gina|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|me gusta
Omar|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|no me gusta
Mark|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|no me gusta
Chad|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|no me gusta
Kyle|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|me gusta
Dylan|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|alegre
Wendy|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|alegre
Kayla|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|me gusta
Judith|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|me gusta
Reginald|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|pensativo
Kenneth|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|no me gusta
Anthony|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|enojado
Michael|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|no me gusta
Stanley|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|enojado
Julie|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|enojado
